row_index,tweet_text,allam_interpretation,two_stage_label,plain_gemma_label,changed
10,غير صحيح أن #قياده_المراه_للسياره_ضروره هذي وسيلة وليست ضروره فيه أهم منها قضايا المعنفات والمطلقات والأرامل والخريجات والمغتربات #لن_تقودي,الكاتب هنا يستخدم السخرية في التغريدة للإشارة إلى أن قيادة المرأة للسيارة ليست ضرورية، بل هي مجرد وسيلة يمكن الاستغناء عنها. ويشير الكاتب إلى أن هناك قضايا أكثر أهمية يجب التركيز عليها مثل قضايا المعنفات والمطلقات والأرامل والخريجات والمغتربات. التغريدة تحتوي على نبرة ساخرة ومتهكمة، حيث يقلل الكاتب من أهمية قيادة السيارة ويستخدمها كنقطة للمقارنة مع قضايا اجتماعية أخرى تحتاج إلى اهتمام أكبر.,Against,Against,False
11,#معانات_بنات_الارطاويه_والقري ان شاء الله سيتم حل مشكلتكم بالطرق الصحيحه . . . . . . لكن بقولكم سر #لن_تقودي,"الكاتب هنا يستخدم أسلوبًا ساخرًا ومخادعًا. هو يعبر عن مشكلة معينة تخص بنات الأرطاوية والقرى ويشير إلى أن هناك محاولة لحل هذه المشكلة بطرق صحيحة. لكن في النهاية، يكشف الكاتب سرًا وهو أن القضية المرتبطة بـ #لن_تقودي، والتي تعني ""لن تقودي""، ستبقى غير محلولة. الكاتب يحاول أن يوحي بأن المشكلة لن تُحل أبدًا، مما يعكس موقفًا ساخرًا ومستهزئًا تجاه هذه القضية.",Against,Against,False
12,حنا مانبي نسوق اذا حليييتو المشااكل اللي تمر فيها المرأة ذيك اللحين طالبو بالسواقه #لن_تقودي,"الكاتب يعبر عن استيائه من المشاكل التي تواجهها المرأة في المملكة العربية السعودية بشكل عام. يستخدم عبارة ""حنا مانبي نسوق"" ليوضح أنه ليس لديه رغبة في القيادة طالما أن هذه المشاكل موجودة. ثم يربط بين قضيتي قيادة المرأة والمطالبة بالسماح لها بالقيادة عبر استخدام الهاشتاج #لن_تقودي، الذي يعبر عن رفض قيادة المرأة. النبرة هنا متعجبة ومتعالية بعض الشيء، وكأن الكاتب يشير إلى أن السماح للمرأة بالقيادة لن يحل مشاكلها، مما يعكس سخرية من التركيز على القضية.",Against,Against,False
13,#المراه_السعوديه_تسوق الله يجعلها بداية خير للمرأه السعوديه.. وتكون فايده لها اكثر من ضررها الحمد لله على تطور المملكه لما فيها خير للبلاد والعباد اسأل الله ان يكفينا شر الفتن ما ظهر منها وما بطن 🌹,التغريدة تعبر عن مشاعر إيجابية ومباركة تجاه قرار السماح للمرأة السعودية بقيادة السيارة. الكاتب يستخدم هاشتاغ #المراه_السعوديه_تسوق للإشارة إلى هذا القرار. في التغريدة، يعبر الكاتب عن أمله في أن يكون هذا القرار بداية خير للمرأة السعودية وأن يجلب لها النفع بدلاً من الضرر. كما يعبر عن الامتنان لتطور المملكة ويرجو أن يكون هذا التطور في صالح البلاد والعباد. ويختتم بالدعاء لله ليحفظ المملكة من الفتن الظاهرة والباطنة.,Favor,Favor,False
14,شكل اللي سوت هـ الهشتاق تحلم كثيررر .. #سنسوق_فوق_خشومكم #لن_تقودي,"الكاتب يستخدم عبارة ""شكل"" بشكل ساخر للإشارة إلى أن الشخص الذي أنشأ وسم #سنسوق_فوق_خشومكم يحلم كثيراً أو يتخيل كثيراً. هذه العبارة تعني أن الشخص يبدو وكأنه غير واقعي في توقعاته أو في تصوره للأمور. الكاتب يستخدم هذا الأسلوب للتعبير عن السخرية من فكرة قيادة المرأة في المملكة العربية السعودية، ويشير إلى أن هذا الأمر يبدو وكأنه حلم بعيد المنال.",Against,Against,False
15,#لن_تقودي باختصار😄😜😎,"The writer of the tweet uses the hashtag #لن_تقودي, which literally means 'you will not drive', to reference the pre-2018 ban on women driving in Saudi Arabia. The tweet is written in colloquial Arabic and uses emojis to convey a celebratory and light-hearted tone. The writer is likely mocking or dismissing the ban, expressing a sense of joy and amusement, and possibly challenging the status quo.",Favor,Against,True
16,نقول كلمة العقل الله لايبدل النعمة اللي احنا فيها مايحتاج نسوق فيه من يسوق ويخدمنا #لن_تقودي,"الكاتب يعبر عن مشاعر الامتنان والرضا عن الوضع الحالي، مستخدماً هاشتاغ #لن_تقودي. على الرغم من أن الجملة تحتوي على كلمة ""الله لا يبدل النعمة اللي احنا فيها""، إلا أنها تحمل في طياتها نبرة سخرية. الكاتب يشير إلى أن هناك من يخدمهم بالفعل ولا يرون الحاجة إلى قيادة النساء للسيارات، مما يعكس الرضا عن الوضع الحالي.",Against,Against,False
17,#لن_تقودي م راح نقود 😂 بس عند الضروره اسفه لازم اقود غصبن عنك ي ورع,"الكاتب يستخدم الهاشتاغ المرتبط بحظر القيادة السابق للنساء في السعودية، #لن_تقودي، بطريقة ساخرة. 😂 

النص يقول: ""لن نقود"" بأسلوب ساخر، ولكن الكاتب يوضح أن القيادة تصبح ضرورية في بعض الأحيان، ويعتذر عن اضطراره للقيادة في النهاية. 

التون هنا هو تون ساخر ومتهكم، حيث يعترف الكاتب بضرورة القيادة ولكنه يعبر عن ذلك بطريقة مضحكة وغير جادة.",Favor,Favor,False
18,متى نروح البحرين ؟ #قيادة_المراة_السعوديه,الكاتب هنا يسأل بطريقة غير جادة أو ساخرة عن موعد الذهاب إلى البحرين، ويشير إلى موضوع قيادة المرأة السعودية بشكل غير مباشر. يبدو أن الكاتب يستخدم هذا الموضوع كوسيلة للتحدث عن رحلة أو مغامرة قادمة. نبرة التغريدة تبدو خفيفة ومرحة، مع تلميح إلى أن الكاتب ربما يستهزئ أو يستمتع بفكرة قيادة المرأة في السعودية.,Favor,Favor,False
19,الامن يوزع الورود للسيدات خلال بداية قيادتهم السيارة في السعودية . . #المرأة_السعودية_تسوق #SaudiWomenDriving,"The writer is expressing that the security officers in Saudi Arabia are distributing flowers to women as they start driving their cars. The tone of the tweet is celebratory, highlighting the positive moment and the progress women are making in Saudi society.",Favor,Favor,False
20,#لن_تقودي ريم ممكن تسلفيني سيارتك بروح فيها زواج بنت عمي ليه وش فيها سيارتك رحت فيها زواج بنت خالتي قبل شهرين قد شافوها.,الكاتب هنا يستخدم أسلوب سخرية واستهزاء من خلال التغريدة. في البداية، يشير إلى الوسم #لن_تقودي بطريقة ساخرة، مستخدمًا الوسم بشكل ساخر ليظهر أنه لا يرى أي مشكلة في قيادة النساء للسيارات. ثم يسأل بشكل ساخر ريم إذا كانت ستعطيه سيارتها ليذهب إلى زواج بنت عمه، مما يشير إلى أنه لا يرى أي مشكلة في قيادة النساء للسيارات مرة أخرى. في النهاية، يلمح الكاتب إلى أنه كان يذهب إلى زواج بنت خالته قبل شهرين بسيارته الخاصة، مما يعني أن الأمر ليس بجديد وأنه ليس هناك أي مشكلة في قيادة النساء للسيارات.,Favor,Against,True
21,#لن_تقودي مرأة جزء لا يتجزء من مجتمع و لها حقوق و واجبات حالها حال اي بشر! ماكو اي مشكلة و بنسبة للمضايقات فهي دليل على انعدام الوعي حضاري,الكاتب هنا يستخدم هاشتاغ #لن_تقودي بطريقة ساخرة للتعبير عن موقفهم من قضية قيادة المرأة في المملكة العربية السعودية. التغريدة تقول أن المرأة هي جزء لا يتجزأ من المجتمع ولها حقوق وواجبات مثل أي إنسان آخر. الكاتب يعبر عن وجهة نظره بأن المضايقات التي تتعرض لها النساء عند قيادة السيارة هي دليل على عدم الوعي الحضاري.,Favor,Favor,False
22,#لن_تقودي الحمدلله مافيه قياده والا كان يجونك نوعية اللي [ تدرين من وين شريت سيارتي ؟ من امريكا تلبيه ، بمليون وشوي] 🚶🏿,"The literal meaning of the tweet is that the writer is expressing relief that they do not have to deal with the negative people who drive in Saudi Arabia, where women were not allowed to drive. The writer is also mocking the idea of buying a car from America just to drive. The tweet is written in a mocking tone, emphasizing the writer's frustration with the social norms around driving in Saudi Arabia before 2018 when women were banned from driving.",Against,Against,False
23,#المراه_السعوديه_تسوق عاد الحين بعض البنات تبي سيارة لون وردي والثانيه تبي لون بنفسجي ماكو ابيض واسود بس لا تشغلين العالم اللي عندج ؟؟ اوكى كذا مره !! .,الكاتب في هذه التغريدة يستخدم لهجة مرحة وساخرة. يتحدث عن بعض الفتيات السعوديات اللواتي يرغبن في السيارات بألوان وردية وبنفسجية، بينما لا يرغبن في السيارات باللونين الأبيض والأسود. يشير الكاتب إلى أن هذه الرغبات قد تكون مبالغ فيها أو غير واقعية.,None,None,False
24,إذا كانت صلاة المرأه في بيتها أفضل من المسجد فكيف بإخراجها لوحدها بسيارتها #لن_تقودي,"The literal meaning of the tweet is that if a woman's prayer in her home is considered better than praying in the mosque, then traveling alone in her car is even worse. The writer uses the hashtag #لن_تقودي to highlight a specific point: the ban on women driving in Saudi Arabia. The tone of the tweet is sarcastic and critical, reflecting the writer's frustration with the situation, as they imply that praying in a mosque would be preferable to being driven alone.",Against,Against,False
